what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unhandled event loop exception during blocked modal context.",1330746839440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330746839495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1330746839504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330746842733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330746861608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1330746861616
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330746863636
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330746863688
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1330746881644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330746882650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330746905657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1330746905664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330746916465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330746921192
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1330746921201
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330746923068
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330746925077
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330746929956
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330746929956
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330746931492
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330746932816
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330746932816
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330746934069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330746943641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330746966487
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330746980187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330746997294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330746999234
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330747001348
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330747002889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330747013680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330747015940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1330747038296
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330747045847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1330747084394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1330747108990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1330747116763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330747120810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330747127364
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1330747127394
